id_joueur,nom_complet,prenom,nom,actif,url_photo
1630235,Trent Forrest,Trent,Forrest,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1630235.png
2218,Joseph Forte,Joseph,Forte,False,https://cdn.nba.com/headshots/nba/latest/1040x760/2218.png
202622,Courtney Fortson,Courtney,Fortson,False,https://cdn.nba.com/headshots/nba/latest/1040x760/202622.png
1504,Danny Fortson,Danny,Fortson,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1504.png
76740,Fred Foster,Fred,Foster,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76740.png
323,Greg Foster,Greg,Foster,False,https://cdn.nba.com/headshots/nba/latest/1040x760/323.png
1902,Jeff Foster,Jeff,Foster,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1902.png
76742,Rod Foster,Rod,Foster,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76742.png
1630701,Michael Foster Jr.,Michael,Foster Jr.,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1630701.png
2238,Antonis Fotsis,Antonis,Fotsis,False,https://cdn.nba.com/headshots/nba/latest/1040x760/2238.png
203095,Evan Fournier,Evan,Fournier,False,https://cdn.nba.com/headshots/nba/latest/1040x760/203095.png
76744,Larry Foust,Larry,Foust,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76744.png
76745,Jerry Fowler,Jerry,Fowler,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76745.png
1762,Tremaine Fowlkes,Tremaine,Fowlkes,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1762.png
1628368,De'Aaron Fox,De'Aaron,Fox,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628368.png
76746,Harold Fox,Harold,Fox,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76746.png
76747,Jim Fox,Jim,Fox,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76747.png
296,Rick Fox,Rick,Fox,False,https://cdn.nba.com/headshots/nba/latest/1040x760/296.png
200751,Randy Foye,Randy,Foye,False,https://cdn.nba.com/headshots/nba/latest/1040x760/200751.png
1502,Adonal Foyle,Adonal,Foyle,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1502.png
2499,Richie Frahm,Richie,Frahm,False,https://cdn.nba.com/headshots/nba/latest/1040x760/2499.png
1883,Steve Francis,Steve,Francis,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1883.png
76748,Tellis Frank,Tellis,Frank,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76748.png
76749,Nat Frankel,Nat,Frankel,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76749.png
203479,Jamaal Franklin,Jamaal,Franklin,False,https://cdn.nba.com/headshots/nba/latest/1040x760/203479.png
1629606,Robert Franks,Robert,Franks,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1629606.png
204025,Tim Frazier,Tim,Frazier,False,https://cdn.nba.com/headshots/nba/latest/1040x760/204025.png
76750,Walt Frazier,Walt,Frazier,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76750.png
76751,Will Frazier,Will,Frazier,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76751.png
1626187,Michael Frazier II,Michael,Frazier II,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1626187.png
1628982,Melvin Frazier Jr.,Melvin,Frazier Jr.,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1628982.png
76752,Anthony Frederick,Anthony,Frederick,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76752.png
202690,Jimmer Fredette,Jimmer,Fredette,False,https://cdn.nba.com/headshots/nba/latest/1040x760/202690.png
76753,World Free,World,Free,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76753.png
202683,Enes Freedom,Enes,Freedom,False,https://cdn.nba.com/headshots/nba/latest/1040x760/202683.png
200777,Joel Freeland,Joel,Freeland,False,https://cdn.nba.com/headshots/nba/latest/1040x760/200777.png
76754,Donnie Freeman,Donnie,Freeman,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76754.png
1642402,Enrique Freeman,Enrique,Freeman,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1642402.png
76755,Gary Freeman,Gary,Freeman,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76755.png
76756,Rod Freeman,Rod,Freeman,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76756.png
1631241,Javon Freeman-Liberty,Javon,Freeman-Liberty,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1631241.png
2782,Matt Freije,Matt,Freije,False,https://cdn.nba.com/headshots/nba/latest/1040x760/2782.png
76757,Frido Frey,Frido,Frey,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76757.png
76758,Larry Friend,Larry,Friend,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76758.png
76759,Pat Frink,Pat,Frink,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76759.png
76760,Jim Fritsche,Jim,Fritsche,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76760.png
101112,Channing Frye,Channing,Frye,False,https://cdn.nba.com/headshots/nba/latest/1040x760/101112.png
76761,Bernie Fryer,Bernie,Fryer,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76761.png
76762,Frank Fucarino,Frank,Fucarino,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76762.png
1641788,Alex Fudge,Alex,Fudge,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1641788.png
76763,Herm Fuetsch,Herm,Fuetsch,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76763.png
76764,Joe Fulks,Joe,Fulks,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76764.png
2673,Hiram Fuller,Hiram,Fuller,False,https://cdn.nba.com/headshots/nba/latest/1040x760/2673.png
957,Todd Fuller,Todd,Fuller,False,https://cdn.nba.com/headshots/nba/latest/1040x760/957.png
76765,Tony Fuller,Tony,Fuller,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76765.png
1628365,Markelle Fultz,Markelle,Fultz,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628365.png
1444,Lawrence Funderburke,Lawrence,Funderburke,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1444.png
1641847,Andrew Funk,Andrew,Funk,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1641847.png
76767,Terry Furlow,Terry,Furlow,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76767.png
1642277,Johnny Furphy,Johnny,Furphy,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1642277.png
76768,Billy Gabor,Billy,Gabor,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76768.png
1629117,Wenyen Gabriel,Wenyen,Gabriel,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1629117.png
2429,Dan Gadzuric,Dan,Gadzuric,False,https://cdn.nba.com/headshots/nba/latest/1040x760/2429.png
202070,Tony Gaffney,Tony,Gaffney,False,https://cdn.nba.com/headshots/nba/latest/1040x760/202070.png
