Saison,Année,gameId,gameCode,gameStatusText,dateParis,heureParis,homeTeamId,homeTeamTricode,homeTeamScore,awayTeamId,awayTeamTricode,awayTeamScore,seriesGameNumber,gameLabel,poRoundDesc,ifNecessary
2003-2004,2004,0010300001,20031005/DALUTA,Final,2003-10-06,00:00,1610612762,UTA,90,1610612742,DAL,85,,,,False
2003-2004,2004,0010300002,20031006/MILMEM,Final,2003-10-07,02:00,1610612763,MEM,105,1610612749,MIL,94,,,,False
2003-2004,2004,0010300006,20031007/GSWLAL,Final,2003-10-07,08:00,1610612747,LAL,0,1610612744,GSW,0,,,,False
2003-2004,2004,0010300010,20031007/NYKWAS,Final,2003-10-08,01:00,1610612764,WAS,104,1610612752,NYK,86,,,,False
2003-2004,2004,0010300003,20031007/CLEDET,Final,2003-10-08,01:30,1610612765,DET,96,1610612739,CLE,100,,,,False
2003-2004,2004,0010300004,20031007/ORLDAL,Final,2003-10-08,02:30,1610612742,DAL,99,1610612753,ORL,89,,,,False
2003-2004,2004,0010300008,20031007/NJNPHX,Final,2003-10-08,03:00,1610612756,PHX,79,1610612751,NJN,101,,,,False
2003-2004,2004,0010300007,20031007/PHIMIA,Final/OT,2003-10-08,02:30,1610612748,MIA,86,1610612755,PHI,79,,,,False
2003-2004,2004,0010300005,20031007/HOUPOR,Final,2003-10-08,04:00,1610612757,POR,104,1610612745,HOU,80,,,,False
2003-2004,2004,0010300009,20031007/LACSAC,Final,2003-10-08,04:00,1610612758,SAC,101,1610612746,LAC,82,,,,False
2003-2004,2004,0010300015,20031008/GSWLAL,Final,2003-10-08,06:00,1610612747,LAL,0,1610612744,GSW,0,,,,False
2003-2004,2004,0010300013,20031008/MEMSAS,Final,2003-10-08,21:00,1610612759,SAS,0,1610612763,MEM,0,,,,False
2003-2004,2004,0010300011,20031008/CLEATL,Final,2003-10-09,01:00,1610612737,ATL,80,1610612739,CLE,83,,,,False
2003-2004,2004,0010300018,20031008/WASTOR,Final,2003-10-09,01:00,1610612761,TOR,76,1610612764,WAS,71,,,,False
2003-2004,2004,0010300014,20031008/DETBOS,Final,2003-10-09,01:30,1610612738,BOS,89,1610612765,DET,104,,,,False
2003-2004,2004,0010300012,20031008/CHIIND,Final,2003-10-09,02:00,1610612754,IND,96,1610612741,CHI,82,,,,False
2003-2004,2004,0010300017,20031008/ORLNOH,Final,2003-10-09,02:30,1610612740,NOH,105,1610612753,ORL,98,,,,False
2003-2004,2004,0010300016,20031008/HOUSEA,Final,2003-10-09,04:00,1610612760,SEA,98,1610612745,HOU,78,,,,False
2003-2004,2004,0010300020,20031009/MINMIL,Final,2003-10-10,01:30,1610612749,MIL,0,1610612750,MIN,0,,,,False
2003-2004,2004,0010300021,20031009/NJNNYK,Final,2003-10-10,01:30,1610612752,NYK,75,1610612751,NJN,84,,,,False
2003-2004,2004,0010300019,20031009/PHXDEN,Final,2003-10-10,03:00,1610612743,DEN,113,1610612756,PHX,100,,,,False
2003-2004,2004,0010300022,20031009/SACPOR,Final,2003-10-10,04:00,1610612757,POR,0,1610612758,SAC,0,,,,False
2003-2004,2004,0010300028,20031010/MEMSPN,Final,2003-10-10,10:00,35,SPN,0,1610612763,MEM,0,,,,False
2003-2004,2004,0010300023,20031010/ATLMIA,Final,2003-10-11,01:30,1610612748,MIA,94,1610612737,ATL,92,,,,False
2003-2004,2004,0010300027,20031010/PHIWAS,Final,2003-10-11,01:30,1610612764,WAS,83,1610612755,PHI,103,,,,False
2003-2004,2004,0010300024,20031010/BOSCHI,Final,2003-10-11,02:30,1610612741,CHI,90,1610612738,BOS,77,,,,False
2003-2004,2004,0010300025,20031010/SEAHOU,Final,2003-10-11,02:30,1610612745,HOU,0,1610612760,SEA,0,,,,False
2003-2004,2004,0010300026,20031010/PORLAC,Final,2003-10-11,04:30,1610612746,LAC,85,1610612757,POR,88,,,,False
2003-2004,2004,0010300034,20031011/MINNYK,Final,2003-10-11,20:00,1610612752,NYK,77,1610612750,MIN,96,,,,False
2003-2004,2004,0010300035,20031011/MIAORL,Final,2003-10-12,01:00,1610612753,ORL,75,1610612748,MIA,77,,,,False
2003-2004,2004,0010300036,20031011/SASPHI,Final,2003-10-12,01:00,1610612755,PHI,0,1610612759,SAS,0,,,,False
2003-2004,2004,0010300030,20031011/BOSIND,Final,2003-10-12,02:00,1610612754,IND,91,1610612738,BOS,90,,,,False
2003-2004,2004,0010300031,20031011/CHIMIL,Final,2003-10-12,02:30,1610612749,MIL,102,1610612741,CHI,97,,,,False
2003-2004,2004,0010300032,20031011/NOHDAL,Final,2003-10-12,02:30,1610612742,DAL,100,1610612740,NOH,99,,,,False
2003-2004,2004,0010300033,20031011/DENPHX,Final,2003-10-12,03:00,1610612756,PHX,102,1610612743,DEN,106,,,,False
2003-2004,2004,0010300037,20031011/SACGSW,Final,2003-10-12,04:30,1610612744,GSW,111,1610612758,SAC,94,,,,False
