Saison,Année,gameId,gameCode,gameStatusText,dateParis,heureParis,homeTeamId,homeTeamTricode,homeTeamScore,awayTeamId,awayTeamTricode,awayTeamScore,seriesGameNumber,gameLabel,poRoundDesc,ifNecessary
2009-2010,2010,0010900001,20091001/DENUTA,Final,2009-10-02,03:00,1610612762,UTA,103,1610612743,DEN,87,,,,False
2009-2010,2010,0010900002,20091002/CHIIND,Final,2009-10-03,01:00,1610612754,IND,95,1610612741,CHI,104,,,,False
2009-2010,2010,0010900003,20091003/PARDEN,Final,2009-10-04,03:30,1610612743,DEN,102,12319,PAR,70,,,,False
2009-2010,2010,0010900004,20091004/NJNNYK,Final,2009-10-04,20:00,1610612752,NYK,115,1610612751,NJN,107,,,,False
2009-2010,2010,0010900006,20091004/MILMIN,Final,2009-10-05,00:00,1610612750,MIN,117,1610612749,MIL,103,,,,False
2009-2010,2010,0010900005,20091004/LACGSW,Final,2009-10-05,03:00,1610612744,GSW,108,1610612746,LAC,101,,,,False
2009-2010,2010,0010900007,20091005/MIADET,Final,2009-10-06,01:30,1610612765,DET,87,1610612748,MIA,83,,,,False
2009-2010,2010,0010900008,20091005/ORLDAL,Final,2009-10-06,02:30,1610612742,DAL,105,1610612753,ORL,110,,,,False
2009-2010,2010,0010900014,20091006/UTACHI,Final,2009-10-06,20:30,1610612741,CHI,102,1610612762,UTA,101,,,,False
2009-2010,2010,0010900009,20091006/MEMWAS,Final,2009-10-07,01:00,1610612764,WAS,101,1610612763,MEM,92,,,,False
2009-2010,2010,0010900010,20091006/CHACLE,Final,2009-10-07,01:00,1610612739,CLE,92,1610612766,CHA,87,,,,False
2009-2010,2010,0010900013,20091006/TORPHI,Final,2009-10-07,01:30,1610612755,PHI,107,1610612761,TOR,98,,,,False
2009-2010,2010,0010900015,20091006/HOUSAS,Final,2009-10-07,02:30,1610612759,SAS,85,1610612745,HOU,99,,,,False
2009-2010,2010,0010900011,20091006/PARPHX,Final,2009-10-07,04:00,1610612756,PHX,111,12319,PAR,80,,,,False
2009-2010,2010,0010900012,20091006/SACPOR,Final,2009-10-07,04:00,1610612757,POR,98,1610612758,SAC,86,,,,False
2009-2010,2010,0010900016,20091007/PHITOR,Final,2009-10-08,01:00,1610612761,TOR,79,1610612755,PHI,84,,,,False
2009-2010,2010,0010900017,20091007/NOHATL,Final,2009-10-08,01:00,1610612737,ATL,108,1610612740,NOH,102,,,,False
2009-2010,2010,0010900018,20091007/MIAORL,Final,2009-10-08,01:00,1610612753,ORL,90,1610612748,MIA,86,,,,False
2009-2010,2010,0010900022,20091007/MILDET,Final,2009-10-08,01:30,1610612765,DET,113,1610612749,MIL,104,,,,False
2009-2010,2010,0010900019,20091007/OKCMEM,Final,2009-10-08,02:00,1610612763,MEM,99,1610612760,OKC,91,,,,False
2009-2010,2010,0010900023,20091007/BOSHOU,Final,2009-10-08,02:30,1610612745,HOU,96,1610612738,BOS,90,,,,False
2009-2010,2010,0010900020,20091007/PORSAC,Final,2009-10-08,04:00,1610612758,SAC,86,1610612757,POR,89,,,,False
2009-2010,2010,0010900021,20091007/GSWLAL,Final,2009-10-08,04:00,1610612747,LAL,118,1610612744,GSW,101,,,,False
2009-2010,2010,0010900025,20091008/DENIND,Final,2009-10-08,13:30,1610612754,IND,126,1610612743,DEN,104,,,,False
2009-2010,2010,0010900026,20091008/UTARMA,Final,2009-10-08,20:45,12315,RMA,87,1610612762,UTA,109,,,,False
2009-2010,2010,0010900024,20091008/NOHCHA,Final,2009-10-09,01:30,1610612766,CHA,108,1610612740,NOH,101,,,,False
2009-2010,2010,0010900027,20091009/NJNPHI,Final,2009-10-10,01:00,1610612755,PHI,93,1610612751,NJN,92,,,,False
2009-2010,2010,0010900028,20091009/DALWAS,Final,2009-10-10,01:00,1610612764,WAS,115,1610612742,DAL,123,,,,False
2009-2010,2010,0010900029,20091009/HOUORL,Final,2009-10-10,01:00,1610612753,ORL,113,1610612745,HOU,104,,,,False
