Saison,Année,gameId,gameCode,gameStatusText,dateParis,heureParis,homeTeamId,homeTeamTricode,homeTeamScore,awayTeamId,awayTeamTricode,awayTeamScore,seriesGameNumber,gameLabel,poRoundDesc,ifNecessary
2010-2011,2011,0011000001,20101003/NYKMLN,Final,2010-10-03,18:30,94,MLN,113,1610612752,NYK,125,,,,False
2010-2011,2011,0011000002,20101003/MACNJN,Final,2010-10-04,01:00,1610612751,NJN,108,93,MAC,70,,,,False
2010-2011,2011,0011000003,20101004/LALMIN,Final,2010-10-04,21:00,1610612750,MIN,111,1610612747,LAL,92,,,,False
2010-2011,2011,0011000004,20101005/CHACLE,Final,2010-10-06,01:00,1610612739,CLE,87,1610612766,CHA,72,,,,False
2010-2011,2011,0011000007,20101005/NJNPHI,Final,2010-10-06,01:00,1610612755,PHI,96,1610612751,NJN,103,,,,False
2010-2011,2011,0011000011,20101005/DETMIA,Final,2010-10-06,01:30,1610612748,MIA,105,1610612765,DET,89,,,,False
2010-2011,2011,0011000006,20101005/CHIMIL,Final,2010-10-06,02:00,1610612749,MIL,92,1610612741,CHI,83,,,,False
2010-2011,2011,0011000005,20101005/ORLHOU,Final,2010-10-06,02:30,1610612745,HOU,88,1610612753,ORL,97,,,,False
2010-2011,2011,0011000010,20101005/WASDAL,Final,2010-10-06,02:30,1610612742,DAL,94,1610612764,WAS,97,,,,False
2010-2011,2011,0011000008,20101005/LACPOR,Final,2010-10-06,04:00,1610612757,POR,115,1610612746,LAC,86,,,,False
2010-2011,2011,0011000009,20101005/PHXSAC,Final,2010-10-06,04:00,1610612758,SAC,109,1610612756,PHX,95,,,,False
2010-2011,2011,0011000016,20101006/NYKMIN,Final,2010-10-06,20:00,1610612750,MIN,106,1610612752,NYK,100,,,,False
2010-2011,2011,0011000012,20101006/OKCCHA,Final,2010-10-07,01:30,1610612766,CHA,93,1610612760,OKC,97,,,,False
2010-2011,2011,0011000015,20101006/PHIBOS,Final,2010-10-07,01:30,1610612738,BOS,93,1610612755,PHI,65,,,,False
2010-2011,2011,0011000013,20101006/INDMEM,Final,2010-10-07,02:00,1610612763,MEM,87,1610612754,IND,85,,,,False
2010-2011,2011,0011000014,20101006/TORPHX,Final,2010-10-07,04:00,1610612756,PHX,78,1610612761,TOR,129,,,,False
2010-2011,2011,0011000024,20101007/LALBAR,Final,2010-10-07,20:30,12304,BAR,92,1610612747,LAL,88,,,,False
2010-2011,2011,0011000017,20101007/MEMATL,Final/OT,2010-10-08,01:00,1610612737,ATL,111,1610612763,MEM,115,,,,False
2010-2011,2011,0011000018,20101007/WASCLE,Final,2010-10-08,01:00,1610612739,CLE,83,1610612764,WAS,97,,,,False
2010-2011,2011,0011000019,20101007/BOSNJN,Final,2010-10-08,01:00,1610612751,NJN,92,1610612738,BOS,96,,,,False
2010-2011,2011,0011000022,20101007/CHIDAL,Final,2010-10-08,02:30,1610612742,DAL,88,1610612741,CHI,83,,,,False
2010-2011,2011,0011000023,20101007/SASHOU,Final,2010-10-08,02:30,1610612745,HOU,90,1610612759,SAS,87,,,,False
2010-2011,2011,0011000021,20101007/PORUTA,Final,2010-10-08,03:00,1610612762,UTA,100,1610612757,POR,96,,,,False
2010-2011,2011,0011000020,20101007/LACSAC,Final,2010-10-08,04:00,1610612758,SAC,88,1610612746,LAC,120,,,,False
2010-2011,2011,0011000027,20101008/ORLIND,Final,2010-10-09,01:00,1610612754,IND,86,1610612753,ORL,93,,,,False
2010-2011,2011,0011000028,20101008/MILDET,Final/OT,2010-10-09,01:30,1610612765,DET,115,1610612749,MIL,110,,,,False
2010-2011,2011,0011000025,20101008/WASCHI,Final,2010-10-09,02:00,1610612741,CHI,107,1610612764,WAS,96,,,,False
2010-2011,2011,0011000030,20101008/OKCMIA,Final,2010-10-09,02:30,1610612748,MIA,103,1610612760,OKC,96,,,,False
2010-2011,2011,0011000026,20101008/PORDEN,Final,2010-10-09,03:00,1610612743,DEN,109,1610612757,POR,99,,,,False
2010-2011,2011,0011000029,20101008/LACGSW,Final,2010-10-09,04:30,1610612744,GSW,127,1610612746,LAC,87,,,,False
2010-2011,2011,0011000031,20101009/PHINJN,Final,2010-10-09,19:00,1610612751,NJN,90,1610612755,PHI,89,,,,False
2010-2011,2011,0011000032,20101009/INDHOU,Final,2010-10-10,01:00,1610612745,HOU,126,1610612754,IND,92,,,,False
2010-2011,2011,0011000034,20101009/CHAMIL,Final,2010-10-10,02:00,1610612749,MIL,86,1610612766,CHA,78,,,,False
2010-2011,2011,0011000035,20101009/MEMNOH,Final,2010-10-10,02:00,1610612740,NOH,90,1610612763,MEM,97,,,,False
2010-2011,2011,0011000036,20101009/MIASAS,Final,2010-10-10,02:30,1610612759,SAS,90,1610612748,MIA,73,,,,False
2010-2011,2011,0011000033,20101009/DALPHX,Final,2010-10-10,03:30,1610612756,PHX,98,1610612742,DAL,90,,,,False
2010-2011,2011,0011000037,20101010/TORBOS,Final,2010-10-11,00:00,1610612738,BOS,91,1610612761,TOR,87,,,,False
2010-2011,2011,0011000039,20101010/NOHORL,Final,2010-10-11,00:00,1610612753,ORL,135,1610612740,NOH,81,,,,False
2010-2011,2011,0011000038,20101010/CLEHOU,Final,2010-10-11,01:00,1610612745,HOU,93,1610612739,CLE,99,,,,False
2010-2011,2011,0011000040,20101010/SACGSW,Final,2010-10-11,04:00,1610612744,GSW,95,1610612758,SAC,86,,,,False
2010-2011,2011,0011000043,20101011/ATLDET,Final,2010-10-12,01:30,1610612765,DET,94,1610612737,ATL,85,,,,False
2010-2011,2011,0011000042,20101011/CLEDAL,Final,2010-10-12,02:30,1610612742,DAL,79,1610612739,CLE,85,,,,False
2010-2011,2011,0011000041,20101011/UTAPOR,Final,2010-10-12,04:00,1610612757,POR,100,1610612762,UTA,109,,,,False
2010-2011,2011,0011000047,20101012/BOSPHI,Final,2010-10-13,01:00,1610612755,PHI,103,1610612738,BOS,92,,,,False
2010-2011,2011,0011000050,20101012/ATLWAS,Final,2010-10-13,01:00,1610612764,WAS,107,1610612737,ATL,92,,,,False
2010-2011,2011,0011000051,20101012/MOSMIA,Final,2010-10-13,01:30,1610612748,MIA,96,12308,MOS,85,,,,False
2010-2011,2011,0011000044,20101012/TORCHI,Final,2010-10-13,02:00,1610612741,CHI,109,1610612761,TOR,90,,,,False
2010-2011,2011,0011000045,20101012/DENMIN,Final,2010-10-13,02:00,1610612750,MIN,122,1610612743,DEN,108,,,,False
2010-2011,2011,0011000046,20101012/MEMOKC,Final,2010-10-13,02:00,1610612760,OKC,96,1610612763,MEM,116,,,,False
2010-2011,2011,0011000052,20101012/SASLAC,Final,2010-10-13,03:30,1610612746,LAC,99,1610612759,SAS,100,,,,False
2010-2011,2011,0011000048,20101012/UTAPHX,Final,2010-10-13,04:00,1610612756,PHX,100,1610612762,UTA,105,,,,False
2010-2011,2011,0011000049,20101012/GSWSAC,Final,2010-10-13,04:00,1610612758,SAC,116,1610612744,GSW,97,,,,False
2010-2011,2011,0011000059,20101013/NJNHOU,Final,2010-10-13,14:00,1610612745,HOU,91,1610612751,NJN,81,,,,False
2010-2011,2011,0011000053,20101013/DALDET,Final,2010-10-14,01:00,1610612765,DET,96,1610612742,DAL,101,,,,False
2010-2011,2011,0011000054,20101013/MININD,Final,2010-10-14,01:00,1610612754,IND,98,1610612750,MIN,86,,,,False
2010-2011,2011,0011000057,20101013/PHITOR,Final/OT2,2010-10-14,01:00,1610612761,TOR,119,1610612755,PHI,116,,,,False
2010-2011,2011,0011000058,20101013/BOSNYK,Final,2010-10-14,01:30,1610612752,NYK,101,1610612738,BOS,104,,,,False
2010-2011,2011,0011000056,20101013/MIANOH,Final,2010-10-14,02:00,1610612740,NOH,90,1610612748,MIA,76,,,,False
2010-2011,2011,0011000055,20101013/SACLAL,Final,2010-10-14,04:00,1610612747,LAL,98,1610612758,SAC,95,,,,False
2010-2011,2011,0011000062,20101014/CHAORL,Final,2010-10-15,01:00,1610612753,ORL,86,1610612766,CHA,73,,,,False
2010-2011,2011,0011000064,20101014/MILWAS,Final,2010-10-15,01:00,1610612764,WAS,88,1610612749,MIL,96,,,,False
2010-2011,2011,0011000065,20101014/SASCLE,Final,2010-10-15,01:30,1610612739,CLE,106,1610612759,SAS,80,,,,False
2010-2011,2011,0011000060,20101014/LABMEM,Final,2010-10-15,02:00,1610612763,MEM,110,95,LAB,105,,,,False
2010-2011,2011,0011000061,20101014/MOSOKC,Final,2010-10-15,02:00,1610612760,OKC,97,12308,MOS,89,,,,False
2010-2011,2011,0011000063,20101014/PHXUTA,Final,2010-10-15,03:00,1610612762,UTA,108,1610612756,PHX,97,,,,False
2010-2011,2011,0011000066,20101014/DENLAC,Final,2010-10-15,04:30,1610612746,LAC,95,1610612743,DEN,100,,,,False
2010-2011,2011,0011000068,20101015/NOHIND,Final,2010-10-16,01:00,1610612754,IND,101,1610612740,NOH,98,,,,False
2010-2011,2011,0011000069,20101015/BOSTOR,Final,2010-10-16,01:00,1610612761,TOR,112,1610612738,BOS,117,,,,False
2010-2011,2011,0011000070,20101015/DETMIN,Final,2010-10-16,01:30,1610612750,MIN,99,1610612765,DET,88,,,,False
2010-2011,2011,0011000067,20101015/DALCHI,Final/OT,2010-10-16,02:00,1610612741,CHI,105,1610612742,DAL,109,,,,False
2010-2011,2011,0011000081,20101016/HOUNJN,Final,2010-10-16,13:30,1610612751,NJN,85,1610612745,HOU,95,,,,False
2010-2011,2011,0011000072,20101016/DETCHA,Final,2010-10-17,00:30,1610612766,CHA,97,1610612765,DET,94,,,,False
2010-2011,2011,0011000074,20101016/CHIORL,Final,2010-10-17,01:00,1610612753,ORL,105,1610612741,CHI,67,,,,False
2010-2011,2011,0011000071,20101016/UTALAC,Final,2010-10-17,01:30,1610612746,LAC,91,1610612762,UTA,103,,,,False
2010-2011,2011,0011000076,20101016/NYKBOS,Final,2010-10-17,01:30,1610612738,BOS,97,1610612752,NYK,84,,,,False
2010-2011,2011,0011000077,20101016/MOSCLE,Final,2010-10-17,01:30,1610612739,CLE,87,12308,MOS,90,,,,False
2010-2011,2011,0011000073,20101016/MILMEM,Final,2010-10-17,02:00,1610612763,MEM,91,1610612749,MIL,77,,,,False
2010-2011,2011,0011000079,20101016/ATLNOH,Final,2010-10-17,02:30,1610612740,NOH,74,1610612737,ATL,84,,,,False
2010-2011,2011,0011000080,20101016/LABSAS,Final,2010-10-17,02:30,1610612759,SAS,108,95,LAB,85,,,,False
2010-2011,2011,0011000075,20101016/GSWPOR,Final,2010-10-17,04:00,1610612757,POR,118,1610612744,GSW,105,,,,False
2010-2011,2011,0011000078,20101016/DENLAL,Final,2010-10-17,04:30,1610612747,LAL,102,1610612743,DEN,95,,,,False
2010-2011,2011,0011000082,20101017/PHXTOR,Final,2010-10-17,19:00,1610612761,TOR,121,1610612756,PHX,100,,,,False
2010-2011,2011,0011000085,20101017/WASNYK,Final,2010-10-18,00:00,1610612752,NYK,92,1610612764,WAS,90,,,,False
2010-2011,2011,0011000083,20101017/LACDEN,Final,2010-10-18,01:30,1610612743,DEN,108,1610612746,LAC,104,,,,False
2010-2011,2011,0011000084,20101017/MILMIN,Final,2010-10-18,02:00,1610612750,MIN,114,1610612749,MIL,109,,,,False
2010-2011,2011,0011000086,20101017/UTALAL,Final,2010-10-18,04:30,1610612747,LAL,94,1610612762,UTA,99,,,,False
2010-2011,2011,0011000087,20101018/ORLATL,Final,2010-10-19,01:00,1610612737,ATL,73,1610612753,ORL,102,,,,False
2010-2011,2011,0011000090,20101018/CHAMIA,Final,2010-10-19,01:30,1610612748,MIA,96,1610612766,CHA,102,,,,False
2010-2011,2011,0011000088,20101018/NOHMEM,Final,2010-10-19,02:00,1610612763,MEM,96,1610612740,NOH,91,,,,False
2010-2011,2011,0011000091,20101018/OKCSAS,Final,2010-10-19,02:30,1610612759,SAS,102,1610612760,OKC,111,,,,False
2010-2011,2011,0011000089,20101018/PORGSW,Final,2010-10-19,04:30,1610612744,GSW,100,1610612757,POR,78,,,,False
2010-2011,2011,0011000092,20101019/PHICLE,Final,2010-10-20,01:00,1610612739,CLE,111,1610612755,PHI,95,,,,False
2010-2011,2011,0011000094,20101019/WASDET,Final,2010-10-20,01:00,1610612765,DET,98,1610612764,WAS,92,,,,False
2010-2011,2011,0011000099,20101019/NJNNYK,Final,2010-10-20,01:30,1610612752,NYK,117,1610612751,NJN,111,,,,False
2010-2011,2011,0011000096,20101019/INDMIN,Final/OT,2010-10-20,02:00,1610612750,MIN,124,1610612754,IND,128,,,,False
2010-2011,2011,0011000093,20101019/OKCDEN,Final,2010-10-20,03:00,1610612743,DEN,130,1610612760,OKC,115,,,,False
