Saison,Année,gameId,gameCode,gameStatusText,dateParis,heureParis,homeTeamId,homeTeamTricode,homeTeamScore,awayTeamId,awayTeamTricode,awayTeamScore,seriesGameNumber,gameLabel,poRoundDesc,ifNecessary
1999-2000,2000,19900001,19991010/SASPHI,Final,1999-10-10,23:00,1610612755,PHI,0,1610612759,SAS,0,,,,False
1999-2000,2000,19900002,,,1999-10-12,20:00,0,,0,1610612748,MIA,0,,,,False
1999-2000,2000,19900003,19991012/SEAPOR,,1999-10-13,04:00,1610612757,POR,0,1610612760,SEA,0,,,,False
1999-2000,2000,19900004,19991012/PHINYK,,1999-10-13,01:30,1610612752,NYK,0,1610612755,PHI,0,,,,False
1999-2000,2000,19900005,19991012/LACGSW,,1999-10-13,04:30,1610612744,GSW,0,1610612746,LAC,0,,,,False
1999-2000,2000,19900006,19991012/WASLAL,,1999-10-13,02:30,1610612747,LAL,0,1610612764,WAS,0,,,,False
1999-2000,2000,19900007,19991012/ORLDET,,1999-10-13,01:30,1610612765,DET,0,1610612753,ORL,0,,,,False
1999-2000,2000,19900008,19991012/MILTOR,,1999-10-13,01:00,1610612761,TOR,0,1610612749,MIL,0,,,,False
1999-2000,2000,19900009,19991012/DENCHI,,1999-10-13,02:30,1610612741,CHI,0,1610612743,DEN,0,,,,False
1999-2000,2000,19900010,19991012/ATLNJN,,1999-10-13,01:30,1610612751,NJN,0,1610612737,ATL,0,,,,False
1999-2000,2000,19900011,19991013/MINPHX,,1999-10-14,04:00,1610612756,PHX,0,1610612750,MIN,0,,,,False
1999-2000,2000,19900012,19991013/HOUSEA,,1999-10-14,04:00,1610612760,SEA,0,1610612745,HOU,0,,,,False
1999-2000,2000,19900013,19991013/CHHBOS,,1999-10-14,01:00,1610612738,BOS,0,1610612766,CHH,0,,,,False
1999-2000,2000,19900014,19991013/WASLAL,,1999-10-14,02:30,1610612747,LAL,0,1610612764,WAS,0,,,,False
1999-2000,2000,19900015,19991013/NJNCLE,,1999-10-14,01:30,1610612739,CLE,0,1610612751,NJN,0,,,,False
1999-2000,2000,19900016,19991013/VANUTA,,1999-10-14,03:30,1610612762,UTA,0,1610612763,VAN,0,,,,False
1999-2000,2000,19900017,19991013/DENIND,,1999-10-14,02:00,1610612754,IND,0,1610612743,DEN,0,,,,False
1999-2000,2000,19900018,19991014/MILATL,,1999-10-15,01:30,1610612737,ATL,0,1610612749,MIL,0,,,,False
1999-2000,2000,19900019,19991014/SACDET,,1999-10-15,01:30,1610612765,DET,0,1610612758,SAC,0,,,,False
1999-2000,2000,19900020,19991014/GSWPOR,,1999-10-15,04:00,1610612757,POR,0,1610612744,GSW,0,,,,False
1999-2000,2000,19900021,19991014/CHHMIN,,1999-10-15,02:00,1610612750,MIN,0,1610612766,CHH,0,,,,False
1999-2000,2000,19900022,19991015/CLEHOU,,1999-10-16,02:30,1610612745,HOU,0,1610612739,CLE,0,,,,False
1999-2000,2000,19900023,19991015/VANGSW,,1999-10-16,04:30,1610612744,GSW,0,1610612763,VAN,0,,,,False
1999-2000,2000,19900024,19991015/DENCHI,,1999-10-16,02:30,1610612741,CHI,0,1610612743,DEN,0,,,,False
1999-2000,2000,19900025,19991015/LACTOR,,1999-10-16,01:00,1610612761,TOR,0,1610612746,LAC,0,,,,False
1999-2000,2000,19900026,19991015/MIAORL,,1999-10-16,01:30,1610612753,ORL,0,1610612748,MIA,0,,,,False
1999-2000,2000,19900027,,,1999-10-15,19:30,0,,0,1610612759,SAS,0,,,,False
1999-2000,2000,19900028,19991015/SEAUTA,,1999-10-16,03:00,1610612762,UTA,0,1610612760,SEA,0,,,,False
1999-2000,2000,19900029,19991015/ATLBOS,,1999-10-16,01:30,1610612738,BOS,0,1610612737,ATL,0,,,,False
1999-2000,2000,19900030,19991016/LACCHI,,1999-10-17,02:30,1610612741,CHI,0,1610612746,LAC,0,,,,False
1999-2000,2000,19900031,,,1999-10-16,19:30,1610612759,SAS,0,0,,0,,,,False
1999-2000,2000,19900032,19991016/PHIDET,,1999-10-17,01:30,1610612765,DET,0,1610612755,PHI,0,,,,False
1999-2000,2000,19900033,19991016/CLENYK,,1999-10-17,01:30,1610612752,NYK,0,1610612739,CLE,0,,,,False
1999-2000,2000,19900034,19991016/CHHDAL,,1999-10-17,02:00,1610612742,DAL,0,1610612766,CHH,0,,,,False
1999-2000,2000,19900035,19991016/SACIND,,1999-10-17,02:00,1610612754,IND,0,1610612758,SAC,0,,,,False
1999-2000,2000,19900036,19991016/MINMIL,,1999-10-17,02:00,1610612749,MIL,0,1610612750,MIN,0,,,,False
1999-2000,2000,19900037,19991017/SACIND,,1999-10-18,01:00,1610612754,IND,0,1610612758,SAC,0,,,,False
1999-2000,2000,19900038,19991017/HOUORL,,1999-10-18,01:30,1610612753,ORL,0,1610612745,HOU,0,,,,False
1999-2000,2000,19900039,19991017/PORPHX,,1999-10-18,02:30,1610612756,PHX,0,1610612757,POR,0,,,,False
1999-2000,2000,19900040,19991017/DALDET,,1999-10-18,01:00,1610612765,DET,0,1610612742,DAL,0,,,,False
1999-2000,2000,19900041,19991017/DENVAN,,1999-10-17,21:00,1610612763,VAN,0,1610612743,DEN,0,,,,False
1999-2000,2000,19900042,19991018/HOUCHH,,1999-10-19,01:30,1610612766,CHH,0,1610612745,HOU,0,,,,False
1999-2000,2000,19900043,19991018/TORVAN,,1999-10-19,03:00,1610612763,VAN,0,1610612761,TOR,0,,,,False
1999-2000,2000,19900044,19991018/NYKUTA,,1999-10-19,03:00,1610612762,UTA,0,1610612752,NYK,0,,,,False
1999-2000,2000,19900045,19991018/ATLMIA,,1999-10-19,01:30,1610612748,MIA,0,1610612737,ATL,0,,,,False
1999-2000,2000,19900046,19991019/PORSEA,,1999-10-20,04:00,1610612760,SEA,0,1610612757,POR,0,,,,False
1999-2000,2000,19900047,19991019/DALMIL,,1999-10-20,02:00,1610612749,MIL,0,1610612742,DAL,0,,,,False
1999-2000,2000,19900048,19991019/ORLSAS,,1999-10-20,02:30,1610612759,SAS,0,1610612753,ORL,0,,,,False
1999-2000,2000,19900049,19991019/NJNATL,,1999-10-20,02:30,1610612737,ATL,0,1610612751,NJN,0,,,,False
1999-2000,2000,19900050,19991019/MININD,,1999-10-20,02:00,1610612754,IND,0,1610612750,MIN,0,,,,False
1999-2000,2000,19900051,19991019/LACPHX,,1999-10-20,04:00,1610612756,PHX,0,1610612746,LAC,0,,,,False
1999-2000,2000,19900052,19991019/BOSCHH,,1999-10-20,01:30,1610612766,CHH,0,1610612738,BOS,0,,,,False
1999-2000,2000,19900053,19991019/GSWLAL,,1999-10-20,04:30,1610612747,LAL,0,1610612744,GSW,0,,,,False
1999-2000,2000,19900054,19991019/SACCHI,,1999-10-20,02:30,1610612741,CHI,0,1610612758,SAC,0,,,,False
1999-2000,2000,19900055,19991020/NJNNYK,,1999-10-21,01:30,1610612752,NYK,0,1610612751,NJN,0,,,,False
1999-2000,2000,19900056,19991020/TORDEN,,1999-10-21,03:00,1610612743,DEN,0,1610612761,TOR,0,,,,False
1999-2000,2000,19900057,19991020/MILMIN,,1999-10-21,02:30,1610612750,MIN,0,1610612749,MIL,0,,,,False
1999-2000,2000,19900058,19991020/UTABOS,,1999-10-21,01:30,1610612738,BOS,0,1610612762,UTA,0,,,,False
1999-2000,2000,19900059,19991021/PHISAS,,1999-10-22,02:30,1610612759,SAS,0,1610612755,PHI,0,,,,False
1999-2000,2000,19900060,19991021/MIAPHX,,1999-10-22,02:00,1610612756,PHX,0,1610612748,MIA,0,,,,False
1999-2000,2000,19900061,19991021/MIAPHX,,1999-10-22,02:30,1610612756,PHX,0,1610612748,MIA,0,,,,False
1999-2000,2000,19900062,19991021/LALGSW,,1999-10-22,05:00,1610612744,GSW,0,1610612747,LAL,0,,,,False
1999-2000,2000,19900063,19991021/ATLCHI,,1999-10-22,02:30,1610612741,CHI,0,1610612737,ATL,0,,,,False
1999-2000,2000,19900064,19991021/GSWLAL,,1999-10-22,02:00,1610612747,LAL,0,1610612744,GSW,0,,,,False
1999-2000,2000,19900065,19991021/ORLHOU,,1999-10-22,02:30,1610612745,HOU,0,1610612753,ORL,0,,,,False
1999-2000,2000,19900066,19991021/TORDAL,,1999-10-22,02:30,1610612742,DAL,0,1610612761,TOR,0,,,,False
1999-2000,2000,19900067,19991021/WASCLE,,1999-10-22,01:30,1610612739,CLE,0,1610612764,WAS,0,,,,False
1999-2000,2000,19900068,19991022/MINDET,,1999-10-23,01:30,1610612765,DET,0,1610612750,MIN,0,,,,False
1999-2000,2000,19900069,19991022/LACVAN,,1999-10-23,04:00,1610612763,VAN,0,1610612746,LAC,0,,,,False
1999-2000,2000,19900070,19991022/CHHATL,,1999-10-23,01:30,1610612737,ATL,0,1610612766,CHH,0,,,,False
1999-2000,2000,19900071,19991022/MIAGSW,,1999-10-23,02:00,1610612744,GSW,0,1610612748,MIA,0,,,,False
1999-2000,2000,19900072,19991022/SEADEN,,1999-10-23,03:00,1610612743,DEN,0,1610612760,SEA,0,,,,False
1999-2000,2000,19900073,19991022/UTAIND,,1999-10-23,02:00,1610612754,IND,0,1610612762,UTA,0,,,,False
1999-2000,2000,19900074,19991022/MIAGSW,,1999-10-23,02:00,1610612744,GSW,0,1610612748,MIA,0,,,,False
1999-2000,2000,19900075,19991022/PHXLAL,,1999-10-23,05:00,1610612747,LAL,0,1610612756,PHX,0,,,,False
1999-2000,2000,19900076,19991022/NJNPHI,,1999-10-23,02:30,1610612755,PHI,0,1610612751,NJN,0,,,,False
1999-2000,2000,19900077,19991022/LALPHX,,1999-10-23,03:00,1610612756,PHX,0,1610612747,LAL,0,,,,False
1999-2000,2000,19900078,19991023/CLEWAS,,1999-10-24,01:00,1610612764,WAS,0,1610612739,CLE,0,,,,False
1999-2000,2000,19900079,19991023/SACPOR,,1999-10-24,04:00,1610612757,POR,0,1610612758,SAC,0,,,,False
1999-2000,2000,19900080,19991023/TORMIL,,1999-10-24,02:00,1610612749,MIL,0,1610612761,TOR,0,,,,False
1999-2000,2000,19900081,19991023/BOSUTA,,1999-10-24,01:30,1610612762,UTA,0,1610612738,BOS,0,,,,False
1999-2000,2000,19900082,19991023/INDCHI,,1999-10-24,02:00,1610612741,CHI,0,1610612754,IND,0,,,,False
1999-2000,2000,19900083,19991023/DALCHH,,1999-10-24,01:30,1610612766,CHH,0,1610612742,DAL,0,,,,False
1999-2000,2000,19900084,19991023/SASNYK,,1999-10-24,00:30,1610612752,NYK,0,1610612759,SAS,0,,,,False
1999-2000,2000,19900085,19991024/GSWNJN,,1999-10-25,03:00,1610612751,NJN,0,1610612744,GSW,0,,,,False
