Saison,Année,gameId,gameCode,gameStatusText,dateParis,heureParis,homeTeamId,homeTeamTricode,homeTeamScore,awayTeamId,awayTeamTricode,awayTeamScore,seriesGameNumber,gameLabel,poRoundDesc,ifNecessary
2005-2006,2006,0090500001,,,2005-09-22,17:30,0,,0,0,,0,,,,False
2005-2006,2006,0090500002,,,2005-09-22,20:30,0,,0,0,,0,,,,False
2005-2006,2006,0090500003,,,2005-09-23,18:00,0,,0,0,,0,,,,False
2005-2006,2006,0090500004,,,2005-09-23,21:00,0,,0,0,,0,,,,False
2005-2006,2006,0090500005,,,2005-09-24,18:00,0,,0,0,,0,,,,False
2005-2006,2006,0090500006,,,2005-09-24,21:00,0,,0,0,,0,,,,False
2005-2006,2006,0090500007,,,2005-09-25,21:00,0,,0,0,,0,,,,False
2005-2006,2006,0010500001,20051010/CLEWAS,Final,2005-10-11,01:00,1610612764,WAS,94,1610612739,CLE,116,,,,False
2005-2006,2006,0010500120,20051010/SASMIA,Final,2005-10-11,01:00,1610612748,MIA,103,1610612759,SAS,101,,,,False
2005-2006,2006,0010500002,20051011/HOUPHI,Final,2005-10-12,01:00,1610612755,PHI,91,1610612745,HOU,105,,,,False
2005-2006,2006,0010500003,20051011/ORLATL,Final,2005-10-12,01:00,1610612737,ATL,93,1610612753,ORL,104,,,,False
2005-2006,2006,0010500005,20051011/DALSAC,Final,2005-10-12,04:00,1610612758,SAC,83,1610612742,DAL,96,,,,False
2005-2006,2006,0010500007,20051011/INDNJN,Final,2005-10-12,02:00,1610612751,NJN,105,1610612754,IND,103,,,,False
2005-2006,2006,0010500008,20051011/BOSCLE,Final,2005-10-12,01:30,1610612739,CLE,96,1610612738,BOS,86,,,,False
2005-2006,2006,0010500004,20051011/CHIDET,Final,2005-10-12,01:00,1610612765,DET,87,1610612741,CHI,76,,,,False
2005-2006,2006,0010500006,20051011/GSWLAL,Final,2005-10-12,04:00,1610612747,LAL,101,1610612744,GSW,93,,,,False
2005-2006,2006,0010500012,20051012/GSWLAL,Final,2005-10-12,06:00,1610612747,LAL,81,1610612744,GSW,112,,,,False
2005-2006,2006,0010500009,20051012/UTATOR,Final/OT,2005-10-13,01:00,1610612761,TOR,101,1610612762,UTA,102,,,,False
2005-2006,2006,0010500010,20051012/CHIMEM,Final,2005-10-13,02:00,1610612763,MEM,86,1610612741,CHI,82,,,,False
2005-2006,2006,0010500011,20051012/MILMIN,Final,2005-10-13,02:00,1610612750,MIN,89,1610612749,MIL,92,,,,False
2005-2006,2006,0010500013,20051012/SEAPOR,Final,2005-10-13,04:00,1610612757,POR,82,1610612760,SEA,75,,,,False
2005-2006,2006,0010500016,20051012/ORLHOU,Final,2005-10-13,02:30,1610612745,HOU,84,1610612753,ORL,80,,,,False
2005-2006,2006,0010500017,20051012/DALLAC,Final,2005-10-13,04:30,1610612746,LAC,95,1610612742,DAL,80,,,,False
2005-2006,2006,0010500014,20051012/SASPHI,Final,2005-10-13,01:30,1610612755,PHI,100,1610612759,SAS,88,,,,False
2005-2006,2006,0010500015,20051012/CHAATL,Final,2005-10-13,01:30,1610612737,ATL,109,1610612766,CHA,105,,,,False
2005-2006,2006,0010500018,20051013/UTAIND,Final,2005-10-14,02:00,1610612754,IND,99,1610612762,UTA,92,,,,False
2005-2006,2006,0010500019,20051013/NOKDEN,Final,2005-10-14,03:00,1610612743,DEN,90,1610612740,NOK,100,,,,False
2005-2006,2006,0010500020,20051013/NJNCHA,Final,2005-10-14,01:30,1610612766,CHA,76,1610612751,NJN,95,,,,False
2005-2006,2006,0010500021,20051013/MILDET,Final,2005-10-14,01:30,1610612765,DET,95,1610612749,MIL,88,,,,False
2005-2006,2006,0010500022,20051013/WASSAS,Final,2005-10-14,02:00,1610612759,SAS,91,1610612764,WAS,95,,,,False
2005-2006,2006,0010500023,20051014/MININD,Final,2005-10-15,02:00,1610612754,IND,93,1610612750,MIN,84,,,,False
2005-2006,2006,0010500024,20051014/PHXSEA,Final,2005-10-15,04:30,1610612760,SEA,113,1610612756,PHX,114,,,,False
2005-2006,2006,0010500025,20051014/TORBOS,Final,2005-10-15,01:30,1610612738,BOS,107,1610612761,TOR,100,,,,False
2005-2006,2006,0010500026,20051014/PHICLE,Final,2005-10-15,01:30,1610612739,CLE,98,1610612755,PHI,100,,,,False
2005-2006,2006,0010500027,20051014/SACLAC,Final,2005-10-15,04:30,1610612746,LAC,84,1610612758,SAC,90,,,,False
2005-2006,2006,0010500028,20051014/MEMMIA,Final,2005-10-15,02:30,1610612748,MIA,91,1610612763,MEM,101,,,,False
2005-2006,2006,0010500029,20051015/NOKORL,Final,2005-10-16,01:00,1610612753,ORL,101,1610612740,NOK,83,,,,False
2005-2006,2006,0010500030,20051015/WASMEM,Final,2005-10-16,02:00,1610612763,MEM,104,1610612764,WAS,79,,,,False
2005-2006,2006,0010500032,20051015/LACPHX,Final,2005-10-16,04:00,1610612756,PHX,87,1610612746,LAC,90,,,,False
2005-2006,2006,0010500034,20051015/CHAMIA,Final,2005-10-16,01:30,1610612748,MIA,72,1610612766,CHA,82,,,,False
2005-2006,2006,0010500035,20051015/BOSCHI,Final,2005-10-16,02:30,1610612741,CHI,116,1610612738,BOS,97,,,,False
2005-2006,2006,0010500036,20051015/CLEMIL,Final,2005-10-16,02:30,1610612749,MIL,91,1610612739,CLE,89,,,,False
2005-2006,2006,0010500037,20051015/HOUSAS,Final,2005-10-16,02:30,1610612759,SAS,87,1610612745,HOU,95,,,,False
2005-2006,2006,0010500031,20051015/PORDEN,Final,2005-10-16,03:00,1610612743,DEN,112,1610612757,POR,85,,,,False
2005-2006,2006,0010500033,20051015/NYKNJN,Final,2005-10-16,01:30,1610612751,NJN,84,1610612752,NYK,93,,,,False
2005-2006,2006,0010500038,20051016/MTATOR,,2005-10-16,19:00,1610612761,TOR,0,41,MTA,0,,,,False
2005-2006,2006,0010500039,20051016/DALNYK,Final,2005-10-17,00:00,1610612752,NYK,102,1610612742,DAL,104,,,,False
2005-2006,2006,0010500040,20051016/MINDET,Final,2005-10-17,00:00,1610612765,DET,91,1610612750,MIN,80,,,,False
2005-2006,2006,0010500041,20051016/GSWSAC,Final,2005-10-17,03:00,1610612758,SAC,114,1610612744,GSW,99,,,,False
2005-2006,2006,0010500042,20051017/ATLCHA,Final,2005-10-17,16:00,1610612766,CHA,94,1610612737,ATL,88,,,,False
2005-2006,2006,0010500043,20051017/PHXUTA,Final,2005-10-18,03:00,1610612762,UTA,95,1610612756,PHX,106,,,,False
2005-2006,2006,0010500044,20051017/MINCHI,Final,2005-10-18,02:30,1610612741,CHI,89,1610612750,MIN,97,,,,False
