Saison,Année,gameId,gameCode,gameStatusText,dateParis,heureParis,homeTeamId,homeTeamTricode,homeTeamScore,awayTeamId,awayTeamTricode,awayTeamScore,seriesGameNumber,gameLabel,poRoundDesc,ifNecessary
2006-2007,2007,0090600034,,6:30 am ET,2006-09-01,12:30,0,,0,0,,0,,,,False
2006-2007,2007,0090600035,,6:30 am ET,2006-09-02,12:30,0,,0,0,,0,,,,False
2006-2007,2007,0090600036,,6:30 am ET,2006-09-03,12:30,0,,0,0,,0,,,,False
2006-2007,2007,0010600001,20061005/PHIBAR,Final,2006-10-05,21:00,12304,BAR,104,1610612755,PHI,99,,,,False
2006-2007,2007,0010600002,20061005/SASLYV,Final,2006-10-05,21:00,12305,LYV,90,1610612759,SAS,115,,,,False
2006-2007,2007,0010600003,20061006/LACKHI,Final,2006-10-06,18:00,12306,KHI,91,1610612746,LAC,98,,,,False
2006-2007,2007,0010600004,20061006/PHXROM,Final,2006-10-06,21:00,12307,ROM,93,1610612756,PHX,100,,,,False
2006-2007,2007,0010600005,20061007/LACMOS,Final,2006-10-07,14:00,12308,MOS,94,1610612746,LAC,75,,,,False
2006-2007,2007,0010600006,20061008/SASMTA,Final,2006-10-08,16:00,12303,MTA,84,1610612759,SAS,97,,,,False
2006-2007,2007,0010600007,20061009/TORWAS,Final,2006-10-10,01:00,1610612764,WAS,88,1610612761,TOR,93,,,,False
2006-2007,2007,0010600008,20061010/ORLCHA,Final,2006-10-11,01:00,1610612766,CHA,90,1610612753,ORL,109,,,,False
2006-2007,2007,0010600015,20061010/PHXPHI,Final,2006-10-10,21:00,1610612755,PHI,103,1610612756,PHX,100,,,,False
2006-2007,2007,0010600009,20061010/BOSCLE,Final,2006-10-11,01:00,1610612739,CLE,93,1610612738,BOS,109,,,,False
2006-2007,2007,0010600010,20061010/DALNOK,Final,2006-10-11,02:00,1610612740,NOK,84,1610612742,DAL,81,,,,False
2006-2007,2007,0010600013,20061010/MEMHOU,Final,2006-10-11,02:30,1610612745,HOU,69,1610612763,MEM,75,,,,False
2006-2007,2007,0010600014,20061010/DETMIA,Final,2006-10-11,02:30,1610612748,MIA,64,1610612765,DET,84,,,,False
2006-2007,2007,0010600011,20061010/EPTDEN,Final,2006-10-11,03:00,1610612743,DEN,118,12309,EPT,102,,,,False
2006-2007,2007,0010600012,20061010/UTALAL,Final,2006-10-11,04:00,1610612747,LAL,94,1610612762,UTA,79,,,,False
2006-2007,2007,0010600016,20061011/MTAPHX,Final,2006-10-11,18:00,1610612756,PHX,119,12303,MTA,102,,,,False
2006-2007,2007,0010600023,20061011/PHIMOS,4th Qtr,2006-10-11,21:00,12308,MOS,0,1610612755,PHI,13,,,,False
2006-2007,2007,0010600017,20061011/BOSTOR,Final/OT,2006-10-12,01:00,1610612761,TOR,118,1610612738,BOS,112,,,,False
2006-2007,2007,0010600018,20061011/NJNIND,Final,2006-10-12,01:00,1610612754,IND,103,1610612751,NJN,89,,,,False
2006-2007,2007,0010600019,20061011/ATLMEM,Final,2006-10-12,02:00,1610612763,MEM,91,1610612737,ATL,108,,,,False
2006-2007,2007,0010600020,20061011/MILMIN,Final,2006-10-12,02:00,1610612750,MIN,98,1610612749,MIL,93,,,,False
2006-2007,2007,0010600022,20061011/WASCHI,Final,2006-10-12,02:30,1610612741,CHI,87,1610612764,WAS,86,,,,False
2006-2007,2007,0010600021,20061011/SEAPOR,Final,2006-10-12,04:00,1610612757,POR,89,1610612760,SEA,99,,,,False
2006-2007,2007,0010600025,20061012/SACDAL,Final,2006-10-13,02:30,1610612742,DAL,90,1610612758,SAC,111,,,,False
2006-2007,2007,0010600024,20061012/SEALAL,Final,2006-10-13,04:00,1610612747,LAL,104,1610612760,SEA,101,,,,False
2006-2007,2007,0010600026,20061012/EPTGSW,7:30 pm ET,2006-10-13,04:30,1610612744,GSW,0,12309,EPT,0,,,,False
2006-2007,2007,0010600027,20061013/MILCHA,Final,2006-10-14,01:00,1610612766,CHA,100,1610612749,MIL,104,,,,False
2006-2007,2007,0010600030,20061013/CLEBOS,Final,2006-10-14,01:30,1610612738,BOS,82,1610612739,CLE,91,,,,False
2006-2007,2007,0010600031,20061013/NJNNYK,Final,2006-10-14,01:30,1610612752,NYK,111,1610612751,NJN,97,,,,False
2006-2007,2007,0010600028,20061013/ORLNOK,Final,2006-10-14,02:00,1610612740,NOK,85,1610612753,ORL,100,,,,False
2006-2007,2007,0010600029,20061013/DETMIN,Final,2006-10-14,02:00,1610612750,MIN,96,1610612765,DET,101,,,,False
2006-2007,2007,0010600032,20061013/ATLHOU,Final,2006-10-14,02:30,1610612745,HOU,107,1610612737,ATL,93,,,,False
2006-2007,2007,0010600033,20061014/MIAATL,Final,2006-10-15,01:00,1610612737,ATL,91,1610612748,MIA,81,,,,False
2006-2007,2007,0010600034,20061014/NYKPHI,Final,2006-10-15,01:00,1610612755,PHI,100,1610612752,NYK,102,,,,False
2006-2007,2007,0010600035,20061014/UTAIND,Final,2006-10-15,01:00,1610612754,IND,84,1610612762,UTA,97,,,,False
2006-2007,2007,0010600038,20061014/WASCLE,Final,2006-10-15,01:30,1610612739,CLE,89,1610612764,WAS,93,,,,False
2006-2007,2007,0010600036,20061014/DETMEM,Final,2006-10-15,02:00,1610612763,MEM,101,1610612765,DET,89,,,,False
2006-2007,2007,0010600037,20061014/ORLSAS,Final,2006-10-15,02:00,1610612759,SAS,87,1610612753,ORL,92,,,,False
2006-2007,2007,0010600040,20061014/GSWDEN,Final,2006-10-15,02:00,1610612743,DEN,115,1610612744,GSW,121,,,,False
2006-2007,2007,0010600039,20061014/DALMIL,Final,2006-10-15,02:30,1610612749,MIL,91,1610612742,DAL,78,,,,False
2006-2007,2007,0010600042,20061015/NJNTOR,Final,2006-10-15,19:00,1610612761,TOR,119,1610612751,NJN,110,,,,False
2006-2007,2007,0010600041,20061015/SEACHI,Final/OT,2006-10-15,20:00,1610612741,CHI,110,1610612760,SEA,105,,,,False
2006-2007,2007,0010600043,20061015/PHXLAL,Final,2006-10-16,03:30,1610612747,LAL,91,1610612756,PHX,99,,,,False
2006-2007,2007,0010600045,20061016/MININD,Final,2006-10-17,01:00,1610612754,IND,87,1610612750,MIN,103,,,,False
2006-2007,2007,0010600047,20061016/UTADET,Final,2006-10-17,01:30,1610612765,DET,90,1610612762,UTA,85,,,,False
2006-2007,2007,0010600046,20061016/CHIMEM,Final,2006-10-17,02:00,1610612763,MEM,78,1610612741,CHI,87,,,,False
2006-2007,2007,0010600044,20061016/WASCHA,Final,2006-10-16,16:00,1610612766,CHA,91,1610612764,WAS,100,,,,False
2006-2007,2007,0010600049,20061017/ATLORL,Final,2006-10-18,01:00,1610612753,ORL,96,1610612737,ATL,100,,,,False
2006-2007,2007,0010600050,20061017/MTACLE,Final,2006-10-18,01:00,1610612739,CLE,93,12303,MTA,67,,,,False
2006-2007,2007,0010600054,20061017/BOSNYK,Final,2006-10-18,01:30,1610612752,NYK,116,1610612738,BOS,108,,,,False
2006-2007,2007,0010600055,20061017/NOKMIA,Final,2006-10-18,01:30,1610612748,MIA,109,1610612740,NOK,105,,,,False
2006-2007,2007,0010600048,20061017/WASCHA,Final,2006-10-18,02:00,1610612766,CHA,84,1610612764,WAS,100,,,,False
2006-2007,2007,0010600056,20061017/HOUDAL,Final,2006-10-18,02:30,1610612742,DAL,69,1610612745,HOU,72,,,,False
2006-2007,2007,0010600051,20061017/LACPHX,Final,2006-10-18,04:00,1610612756,PHX,96,1610612746,LAC,107,,,,False
2006-2007,2007,0010600052,20061017/SACLAL,Final,2006-10-18,04:00,1610612747,LAL,91,1610612758,SAC,96,,,,False
2006-2007,2007,0010600053,20061017/GSWPOR,Final/OT,2006-10-18,04:00,1610612757,POR,120,1610612744,GSW,124,,,,False
2006-2007,2007,0010600057,20061018/MINDET,Final,2006-10-19,01:00,1610612765,DET,112,1610612750,MIN,103,,,,False
2006-2007,2007,0010600058,20061018/INDDEN,Final,2006-10-19,01:00,1610612743,DEN,114,1610612754,IND,102,,,,False
2006-2007,2007,0010600059,20061018/NJNBOS,Final,2006-10-19,01:30,1610612738,BOS,94,1610612751,NJN,90,,,,False
2006-2007,2007,0010600060,20061018/TORCLE,Final,2006-10-19,01:30,1610612739,CLE,81,1610612761,TOR,103,,,,False
2006-2007,2007,0010600061,20061018/MILHOU,Final,2006-10-19,02:30,1610612745,HOU,111,1610612749,MIL,97,,,,False
2006-2007,2007,0010600062,20061019/NOKGSW,Final,2006-10-20,01:00,1610612744,GSW,112,1610612740,NOK,103,,,,False
2006-2007,2007,0010600063,20061019/MTATOR,Final,2006-10-20,01:00,1610612761,TOR,118,12303,MTA,84,,,,False
2006-2007,2007,0010600065,20061019/CHAIND,Final,2006-10-20,01:00,1610612754,IND,109,1610612766,CHA,96,,,,False
2006-2007,2007,0010600064,20061019/ORLATL,Final,2006-10-20,02:00,1610612737,ATL,88,1610612753,ORL,109,,,,False
2006-2007,2007,0010600066,20061019/CHISAS,Final,2006-10-20,02:00,1610612759,SAS,67,1610612741,CHI,99,,,,False
2006-2007,2007,0010600070,20061019/MILDAL,Final,2006-10-20,02:30,1610612742,DAL,88,1610612749,MIL,71,,,,False
2006-2007,2007,0010600067,20061019/PORUTA,Final,2006-10-20,03:00,1610612762,UTA,104,1610612757,POR,90,,,,False
2006-2007,2007,0010600068,20061019/SACPHX,Final,2006-10-20,04:00,1610612756,PHX,111,1610612758,SAC,94,,,,False
2006-2007,2007,0010600069,20061019/LACLAL,Final,2006-10-20,04:00,1610612747,LAL,90,1610612746,LAC,91,,,,False
2006-2007,2007,0010600071,20061020/GSWLAC,Final,2006-10-21,01:30,1610612746,LAC,106,1610612744,GSW,116,,,,False
2006-2007,2007,0010600074,20061020/PHINJN,Final,2006-10-21,01:30,1610612751,NJN,102,1610612755,PHI,92,,,,False
2006-2007,2007,0010600072,20061020/MIAMEM,Final,2006-10-21,02:00,1610612763,MEM,96,1610612748,MIA,95,,,,False
2006-2007,2007,0010600075,20061020/MINCHI,Final,2006-10-21,02:30,1610612741,CHI,83,1610612750,MIN,85,,,,False
2006-2007,2007,0010600073,20061020/UTASAC,Final,2006-10-21,04:00,1610612758,SAC,112,1610612762,UTA,96,,,,False
2006-2007,2007,0010600076,20061020/NOKLAL,Final,2006-10-21,04:30,1610612747,LAL,113,1610612740,NOK,106,,,,False
2006-2007,2007,0010600077,20061020/PORSEA,Final,2006-10-21,04:30,1610612760,SEA,95,1610612757,POR,103,,,,False
2006-2007,2007,0010600082,20061021/ATLCLE,Final/OT,2006-10-22,01:00,1610612739,CLE,88,1610612737,ATL,90,,,,False
2006-2007,2007,0010600078,20061021/MEMORL,Final,2006-10-22,01:00,1610612753,ORL,112,1610612763,MEM,89,,,,False
2006-2007,2007,0010600081,20061021/NYKBOS,Final,2006-10-22,01:30,1610612738,BOS,113,1610612752,NYK,89,,,,False
2006-2007,2007,0010600079,20061021/INDMIN,Final,2006-10-22,02:00,1610612750,MIN,91,1610612754,IND,98,,,,False
2006-2007,2007,0010600080,20061021/MIASAS,Final,2006-10-22,02:00,1610612759,SAS,103,1610612748,MIA,93,,,,False
2006-2007,2007,0010600083,20061021/DENMIL,Final,2006-10-22,02:30,1610612749,MIL,119,1610612743,DEN,108,,,,False
2006-2007,2007,0010600084,20061021/WASDAL,Final,2006-10-22,02:30,1610612742,DAL,93,1610612764,WAS,90,,,,False
2006-2007,2007,0010600085,20061021/SEALAC,Final,2006-10-22,04:30,1610612746,LAC,86,1610612760,SEA,82,,,,False
2006-2007,2007,0010600088,20061022/DENDET,Final,2006-10-22,23:00,1610612765,DET,105,1610612743,DEN,124,,,,False
2006-2007,2007,0010600086,20061022/CLETOR,Final,2006-10-23,00:00,1610612761,TOR,91,1610612739,CLE,90,,,,False
2006-2007,2007,0010600087,20061022/NOKSAC,Final,2006-10-23,02:00,1610612758,SAC,117,1610612740,NOK,93,,,,False
2006-2007,2007,0010600090,20061022/SASHOU,Final,2006-10-23,02:30,1610612745,HOU,93,1610612759,SAS,72,,,,False
2006-2007,2007,0010600089,20061022/PHXLAL,Final,2006-10-23,03:30,1610612747,LAL,94,1610612756,PHX,91,,,,False
2006-2007,2007,0010600091,20061023/WASATL,Final,2006-10-24,01:00,1610612737,ATL,105,1610612764,WAS,110,,,,False
2006-2007,2007,0010600092,20061023/SEAPHX,Final,2006-10-24,04:00,1610612756,PHX,102,1610612760,SEA,108,,,,False
2006-2007,2007,0010600093,20061023/UTAPOR,Final,2006-10-24,04:00,1610612757,POR,114,1610612762,UTA,110,,,,False
2006-2007,2007,0010600094,20061024/INDCHA,Final,2006-10-25,01:00,1610612766,CHA,101,1610612754,IND,89,,,,False
2006-2007,2007,0010600095,20061024/MIAORL,Final,2006-10-25,01:00,1610612753,ORL,82,1610612748,MIA,92,,,,False
2006-2007,2007,0010600100,20061024/WASDET,Final,2006-10-25,01:00,1610612765,DET,101,1610612764,WAS,94,,,,False
2006-2007,2007,0010600098,20061024/BOSNJN,Final,2006-10-25,01:30,1610612751,NJN,109,1610612738,BOS,107,,,,False
2006-2007,2007,0010600099,20061024/PHINYK,Final,2006-10-25,01:30,1610612752,NYK,113,1610612755,PHI,102,,,,False
2006-2007,2007,0010600101,20061024/MEMCHI,Final,2006-10-25,02:30,1610612741,CHI,87,1610612763,MEM,84,,,,False
2006-2007,2007,0010600096,20061024/UTADEN,Final,2006-10-25,03:00,1610612743,DEN,107,1610612762,UTA,127,,,,False
2006-2007,2007,0010600097,20061024/NOKSAC,Final,2006-10-25,04:00,1610612758,SAC,81,1610612740,NOK,84,,,,False
2006-2007,2007,0010600102,20061024/PORGSW,Final,2006-10-25,04:30,1610612744,GSW,108,1610612757,POR,96,,,,False
2006-2007,2007,0010600103,20061025/NJNPHI,Final,2006-10-26,01:00,1610612755,PHI,110,1610612751,NJN,88,,,,False
2006-2007,2007,0010600108,20061025/MEMDET,Final,2006-10-26,01:00,1610612765,DET,82,1610612763,MEM,92,,,,False
2006-2007,2007,0010600106,20061025/TORBOS,Final,2006-10-26,01:30,1610612738,BOS,102,1610612761,TOR,106,,,,False
2006-2007,2007,0010600107,20061025/DALCLE,Final,2006-10-26,01:30,1610612739,CLE,81,1610612742,DAL,83,,,,False
2006-2007,2007,0010600104,20061025/CHIMIN,Final/OT,2006-10-26,02:00,1610612750,MIN,109,1610612741,CHI,105,,,,False
2006-2007,2007,0010600110,20061025/HOUMIA,Final,2006-10-26,02:00,1610612748,MIA,71,1610612745,HOU,96,,,,False
2006-2007,2007,0010600105,20061025/SACSEA,Final,2006-10-26,04:00,1610612760,SEA,103,1610612758,SAC,88,,,,False
2006-2007,2007,0010600109,20061025/PORLAC,Final,2006-10-26,04:30,1610612746,LAC,97,1610612757,POR,89,,,,False
2006-2007,2007,0010600112,20061026/CHAMIL,Final/OT2,2006-10-27,02:00,1610612749,MIL,124,1610612766,CHA,126,,,,False
2006-2007,2007,0010600111,20061026/HOUORL,Final,2006-10-27,01:00,1610612753,ORL,94,1610612745,HOU,90,,,,False
2006-2007,2007,0010600113,20061026/INDUTA,Final,2006-10-27,03:00,1610612762,UTA,122,1610612754,IND,96,,,,False
2006-2007,2007,0010600114,20061026/DENLAL,Final,2006-10-27,04:00,1610612747,LAL,108,1610612743,DEN,126,,,,False
