Saison,Année,gameId,gameCode,gameStatusText,dateParis,heureParis,homeTeamId,homeTeamTricode,homeTeamScore,awayTeamId,awayTeamTricode,awayTeamScore,seriesGameNumber,gameLabel,poRoundDesc,ifNecessary
2007-2008,2008,0010700002,20071006/MINEPT,Final,2007-10-06,20:00,12309,EPT,81,1610612750,MIN,84,,,,False
2007-2008,2008,0010700001,20071006/TORBOS,Final,2007-10-06,20:30,1610612738,BOS,89,1610612761,TOR,85,,,,False
2007-2008,2008,0010700003,20071007/TORLRO,Final,2007-10-07,18:30,12317,LRO,87,1610612761,TOR,93,,,,False
2007-2008,2008,0010700004,20071008/NYKPHI,7:30 pm ET,2007-10-09,01:00,1610612755,PHI,0,1610612752,NYK,0,,,,False
2007-2008,2008,0010700005,20071008/ATLORL,Final,2007-10-09,01:00,1610612753,ORL,93,1610612737,ATL,94,,,,False
2007-2008,2008,0010700006,20071008/MIADET,Final,2007-10-09,01:30,1610612765,DET,103,1610612748,MIA,86,,,,False
2007-2008,2008,0010700012,20071009/GSWLAL,Final,2007-10-09,07:00,1610612747,LAL,110,1610612744,GSW,111,,,,False
2007-2008,2008,0010700014,20071009/MEMMAL,Final,2007-10-09,20:00,12311,MAL,102,1610612763,MEM,99,,,,False
2007-2008,2008,0010700007,20071009/WASCLE,Final,2007-10-10,01:00,1610612739,CLE,62,1610612764,WAS,81,,,,False
2007-2008,2008,0010700008,20071009/CHIMIL,Final,2007-10-10,02:00,1610612749,MIL,93,1610612741,CHI,88,,,,False
2007-2008,2008,0010700009,20071009/HOUNOH,Final,2007-10-10,02:00,1610612740,NOH,94,1610612745,HOU,92,,,,False
2007-2008,2008,0010700013,20071009/SASDAL,Final,2007-10-10,02:30,1610612742,DAL,88,1610612759,SAS,67,,,,False
2007-2008,2008,0010700010,20071009/LACDEN,Final,2007-10-10,03:00,1610612743,DEN,119,1610612746,LAC,107,,,,False
2007-2008,2008,0010700011,20071009/SEASAC,Final,2007-10-10,04:00,1610612758,SAC,104,1610612760,SEA,98,,,,False
2007-2008,2008,0010700020,20071010/BOSMIN,Final,2007-10-10,20:30,1610612750,MIN,81,1610612738,BOS,92,,,,False
2007-2008,2008,0010700015,20071010/CHAORL,Final,2007-10-11,01:00,1610612753,ORL,123,1610612766,CHA,99,,,,False
2007-2008,2008,0010700016,20071010/NOHIND,Final,2007-10-11,01:00,1610612754,IND,101,1610612740,NOH,96,,,,False
2007-2008,2008,0010700019,20071010/ATLMIA,Final/OT,2007-10-11,01:30,1610612748,MIA,100,1610612737,ATL,106,,,,False
2007-2008,2008,0010700017,20071010/MILUTA,Final,2007-10-11,03:00,1610612762,UTA,81,1610612749,MIL,90,,,,False
2007-2008,2008,0010700018,20071010/LACPOR,Final,2007-10-11,04:00,1610612757,POR,111,1610612746,LAC,102,,,,False
2007-2008,2008,0010700026,20071011/GSWLAL,Final,2007-10-11,07:00,1610612747,LAL,106,1610612744,GSW,119,,,,False
2007-2008,2008,0010700021,20071011/MEMMMT,Final,2007-10-11,18:30,12318,MMT,73,1610612763,MEM,98,,,,False
2007-2008,2008,0010700028,20071011/TORRMA,Final,2007-10-11,21:30,12315,RMA,104,1610612761,TOR,103,,,,False
2007-2008,2008,0010700022,20071011/MTANYK,Final,2007-10-12,01:00,1610612752,NYK,112,12303,MTA,85,,,,False
2007-2008,2008,0010700023,20071011/CHAATL,Final,2007-10-12,01:00,1610612737,ATL,109,1610612766,CHA,104,,,,False
2007-2008,2008,0010700024,20071011/DETCLE,Final/OT,2007-10-12,01:00,1610612739,CLE,96,1610612765,DET,90,,,,False
2007-2008,2008,0010700027,20071011/PANHOU,Final,2007-10-12,02:30,1610612745,HOU,107,12313,PAN,70,,,,False
2007-2008,2008,0010700025,20071011/PHXSAC,Final,2007-10-12,04:00,1610612758,SAC,99,1610612756,PHX,110,,,,False
2007-2008,2008,0010700029,20071012/NJNPHI,Final/OT,2007-10-13,01:00,1610612755,PHI,90,1610612751,NJN,91,,,,False
2007-2008,2008,0010700030,20071012/MIAORL,Final,2007-10-13,01:00,1610612753,ORL,102,1610612748,MIA,69,,,,False
